l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate
1,155,1,1,17.0,21168.55,0.04,0.02,N,O,1998-08-01,1998-08-17,1998-08-20
1,68,2,2,36.0,34850.16,0.09,0.06,N,O,1998-07-21,1998-10-12,1998-08-10
2,106,3,1,38.0,38631.80,0.00,0.05,N,F,1997-01-28,1997-01-14,1997-02-02
3,4,1,1,8.0,7712.00,0.10,0.02,A,F,1994-02-02,1994-01-04,1994-02-23
3,19,2,2,49.0,44520.49,0.10,0.00,R,F,1993-11-09,1993-12-20,1993-11-24
4,89,3,1,30.0,29670.00,0.03,0.08,N,O,1998-06-17,1998-07-14,1998-06-20
5,108,1,1,50.0,50405.00,0.07,0.04,A,F,1994-07-30,1994-08-18,1994-08-03
5,24,2,2,15.0,13860.30,0.05,0.04,A,F,1994-12-12,1995-01-12,1995-01-02
6,37,3,1,42.0,39354.26,0.06,0.01,N,F,1997-05-10,1997-06-10,1997-05-15
7,146,1,1,44.0,46310.16,0.04,0.02,N,O,1998-01-10,1998-02-14,1998-01-15
7,79,2,2,5.0,4895.35,0.02,0.07,N,O,1998-09-02,1998-09-20,1998-09-10
8,82,3,1,22.0,21604.76,0.07,0.02,R,F,1995-10-11,1995-11-03,1995-10-15
9,61,1,1,6.0,5766.36,0.06,0.08,R,F,1993-06-20,1993-07-18,1993-07-01
10,100,2,1,26.0,26002.60,0.10,0.06,N,O,1998-05-15,1998-06-10,1998-05-20
10,12,3,2,10.0,9012.10,0.08,0.03,N,O,1998-04-20,1998-05-15,1998-04-25
11,55,1,1,35.0,33425.00,0.05,0.07,A,F,1994-09-15,1994-10-10,1994-09-20
12,200,2,1,28.0,28505.60,0.02,0.04,N,O,1998-12-01,1998-12-15,1998-12-10
13,75,3,1,20.0,19500.00,0.03,0.05,R,F,1995-03-05,1995-04-01,1995-03-10
14,88,1,1,45.0,44510.00,0.06,0.03,N,O,1999-01-15,1999-02-10,1999-01-20
